Real,Predicción,Error absoluto
0.9471616,1.100162,0.15300042926635737
1.1086096,1.547123,0.43851335532226554
9.1288428,8.7456255,0.3832173040893547
5.7744134,5.546199,0.22821455509033228
12.2224382,11.68326,0.5391782360107413
1.7510598,2.7246063,0.9735464755584717
11.7607056,10.821222,0.9394832947021481
1.7448102,2.9085915,1.1637813088653564
1.2498332,1.5846686,0.3348354363220214
11.0143992,11.286456,0.272056908093262
1.2637212,1.8088129,0.5450916566741943
1.428728,2.172868,0.744140013381958
11.4388946,11.464354,0.02545896140136783
2.1713454,2.2683644,0.09701902947387708
12.5112652,11.641047,0.8702186759521489
5.9424582,6.738376,0.7959179405944825
2.118571,3.3798182,1.2612472010650633
0.691579,0.36785316,0.3237258353271485
0.4670708,1.2591233,0.7920525253479004
11.586281,11.949129,0.3628481046142582
12.872657,11.214096,1.6585609306640627
